ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TIME,VOICE
-0.15322891,-0.15322891,9.80665,-0.0042569004,-0.009578027,-0.0031926755,0.0,2017-06-10 15:03:51,33.99590805423196
-0.15322891,0.0,9.653421,-0.0,-0.0042569004,-0.0021284502,0.0,2017-06-10 15:03:52,39.77062803777363
-0.15322891,0.0,9.653421,-0.009578027,-0.005321126,-0.008513801,0.0,2017-06-10 15:03:53,44.14799734677858
-0.15322891,0.0,9.80665,0.0031926755,-0.0021284502,-0.0,0.0,2017-06-10 15:03:54,48.68915702008594
-0.15322891,0.0,9.80665,0.0042569004,0.0,-0.0,0.0,2017-06-10 15:03:55,42.77809365708822
-0.15322891,0.0,9.653421,-0.0031926755,0.0,-0.0042569004,0.0,2017-06-10 15:03:56,14.934580509951886
-0.15322891,0.0,9.80665,-0.0021284502,-0.0021284502,-0.0031926755,0.0,2017-06-10 15:03:57,52.839140909458315
-0.15322891,0.0,9.653421,-0.0021284502,-0.007449576,-0.0,0.0,2017-06-10 15:03:58,49.68533924573886
-0.15322891,0.0,9.80665,-0.0010642251,0.0,-0.0042569004,0.0,2017-06-10 15:03:59,18.294511934647694
-0.15322891,0.0,9.80665,-0.0031926755,-0.005321126,-0.0031926755,0.0,2017-06-10 15:04:00,51.812889370100244
-0.15322891,0.0,9.653421,-0.0021284502,-0.005321126,-0.0042569004,0.0,2017-06-10 15:04:01,48.29180665068577
-0.15322891,0.0,9.80665,-0.0031926755,-0.0031926755,-0.0042569004,0.0,2017-06-10 15:04:02,47.49591381666966
-0.15322891,0.0,9.80665,-0.006385351,-0.0042569004,-0.0021284502,0.0,2017-06-10 15:04:03,52.37317599426728
-0.15322891,0.0,9.653421,-0.0031926755,-0.0021284502,-0.0021284502,0.0,2017-06-10 15:04:04,48.81049580537685
-0.15322891,0.0,9.653421,-0.0042569004,-0.0042569004,-0.0042569004,0.0,2017-06-10 15:04:05,50.88419572729247
-0.15322891,0.0,9.653421,0.0010642251,-0.005321126,-0.0021284502,0.0,2017-06-10 15:04:06,37.28005767328787
-0.15322891,0.0,9.80665,-0.0,-0.007449576,-0.006385351,0.0,2017-06-10 15:04:07,22.730109229449926
-0.15322891,-0.15322891,9.80665,0.0042569004,-0.0031926755,-0.0031926755,0.0,2017-06-10 15:04:09,13.394100306287546
-0.15322891,0.0,9.80665,-0.0031926755,-0.0010642251,-0.005321126,0.0,2017-06-10 15:04:10,15.838833157835936
-0.15322891,0.0,9.80665,-0.0010642251,-0.0010642251,-0.006385351,0.0,2017-06-10 15:04:11,45.27643512632699
